GROSS_SPA,NET_SPA,REQUESTER_CODE,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
36.35,9.87,TRAN,DT,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
38.33,10.54,TRAN,DT,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
38.99,11.29,TRAN,DT,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
8.89,3.0,DG1-DEPOT,RR,2017/0122(COD),LEG,COD,MAIN,TRAN,TRAN
15.15,8.29,TRAN,AM,2017/0122(COD),LEG,COD,MAIN,TRAN,TRAN
7.4,5.01,TRAN,PR,2017/0122(COD),LEG,COD,MAIN,TRAN,TRAN
2.45,1.77,JURI,NP,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
80.28,29.26,DG1-DEPOT,RR,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
26.18,11.56,EMPL,AD,2017/0121(COD),LEG,COD,AHE,EMPL,EMPL
12.48,7.67,EMPL,PA,2017/0121(COD),LEG,COD,AHE,EMPL,EMPL
82.92,46.48,EMPL,AM,2017/0121(COD),LEG,COD,AHE,EMPL,EMPL
80.24,35.99,EMPL,AM,2017/0121(COD),LEG,COD,AHE,EMPL,EMPL
128.93,61.79,TRAN,AM,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
127.78,64.72,TRAN,AM,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
29.57,17.86,TRAN,PR,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
50.66,17.67,TRAN,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
48.76,16.48,TRAN,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
49.66,17.14,TRAN,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
48.56,16.33,TRAN,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
50.66,17.9,TRAN,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
47.26,15.42,TRAN,DT,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
8.98,2.94,DG1-DEPOT,RR,2017/0121(COD),LEG,COD,MAIN,TRAN,TRAN
25.47,11.56,TRAN,AM,2017/0121(COD),LEG,COD,MAIN,TRAN,TRAN
7.48,3.86,TRAN,PR,2017/0121(COD),LEG,COD,MAIN,TRAN,TRAN
4.85,4.66,ECR,DV,2017/0121(COD),LEG,COD,MAIN,TRAN,TRAN
3.78,2.98,ITRE,PA,2017/0336(COD),LEG,COD,AVI,ITRE,ITRE
6.01,2.81,AGRI,AM,2017/0336(COD),LEG,COD,AVI,AGRI,AGRI
1.59,0.84,AGRI,PA,2017/0336(COD),LEG,COD,AVI,AGRI,AGRI
2.12,1.2,CONT,PA,2017/0336(COD),LEG,COD,AVI,CONT,CONT
1.99,0.97,FEMM,AD,2017/0336(COD),LEG,COD,AVI,FEMM,FEMM
3.4,1.96,ENVI,AD,2017/0336(COD),LEG,COD,AVI,ENVI,ENVI
3.66,2.6,FEMM,PA,2017/0336(COD),LEG,COD,AVI,FEMM,FEMM
2.02,1.54,BUDG,PA,2017/0336(COD),LEG,COD,AHE,BUDG,BUDG
5.59,2.26,ITRE,AD,2017/0336(COD),LEG,COD,AVI,ITRE,ITRE
2.36,2.02,EMPL,LT,2017/0336(COD),LEG,COD,AVI,EMPL,EMPL
1.57,0.85,FEMM,AM,2017/0336(COD),LEG,COD,AVI,FEMM,FEMM
3.35,1.28,BUDG,AD,2017/0336(COD),LEG,COD,AHE,BUDG,BUDG
3.94,2.13,REGI,PR,2017/0336(COD),LEG,COD,MHE,REGI,REGI
6.23,2.33,ITRE,AM,2017/0336(COD),LEG,COD,AVI,ITRE,ITRE
2.29,1.54,REGI,AM,2017/0336(COD),LEG,COD,MHE,REGI,REGI
8.82,3.44,ENVI,AM,2017/0336(COD),LEG,COD,AVI,ENVI,ENVI
3.14,1.19,CONT,AD,2017/0336(COD),LEG,COD,AVI,CONT,CONT
24.63,9.67,DG1-DEPOT,RR,2017/0336(COD),LEG,COD,MHE,REGI,REGI
2.66,1.02,CONT,AM,2017/0336(COD),LEG,COD,AVI,CONT,CONT
3.13,1.49,AGRI,AD,2017/0336(COD),LEG,COD,AVI,AGRI,AGRI
1.23,1.02,PPE,NT,2017/0336(COD),LEG,COD,MHE,REGI,REGI
51.87,16.83,DG1-DEPOT,RR,2017/0228(COD),LEG,COD,MAIN,IMCO,IMCO
2.75,2.46,PPE,NT,2017/0228(COD),LEG,COD,MAIN,IMCO,IMCO
19.5,7.9,ITRE,AD,2017/0228(COD),LEG,COD,AVI,ITRE,ITRE
109.06,49.99,IMCO,AM,2017/0228(COD),LEG,COD,MAIN,IMCO,IMCO
16.17,9.25,ITRE,PA,2017/0228(COD),LEG,COD,AVI,ITRE,ITRE
29.61,18.09,IMCO,PR,2017/0228(COD),LEG,COD,MAIN,IMCO,IMCO
32.47,16.31,ITRE,AM,2017/0228(COD),LEG,COD,AVI,ITRE,ITRE
4.09,3.45,JURI,NP,2017/0228(COD),LEG,COD,MAIN,IMCO,IMCO
5.62,2.02,DG1-DEPOT,RR,2018/0802(CNS),LEG,CNS,MAIN,LIBE,LIBE
4.96,2.47,LIBE,AM,2018/0802(CNS),LEG,CNS,MAIN,LIBE,LIBE
4.5,2.95,LIBE,PR,2018/0802(CNS),LEG,CNS,MAIN,LIBE,LIBE
42.12,22.55,DG1-DEPOT,RR,2017/2271(INI),INIT,INI,MHE,AFET,AFET
91.44,44.31,AFET,AM,2017/2271(INI),INIT,INI,MHE,AFET,AFET
86.87,45.31,AFET,AM,2017/2271(INI),INIT,INI,MHE,AFET,AFET
2.08,1.78,INTA,PA,2017/2271(INI),INIT,INI,AHE,INTA,INTA
8.95,7.51,AFET,PR,2017/2271(INI),INIT,INI,MHE,AFET,AFET
8.54,5.9,INTA,AD,2017/2271(INI),INIT,INI,AHE,INTA,INTA
23.7,13.27,INTA,AM,2017/2271(INI),INIT,INI,AHE,INTA,INTA
1.73,1.43,CULT,PA,2018/2005(INI),INIT,INI,AVI,CULT,CULT
22.46,14.31,CULT,AM,2018/2005(INI),INIT,INI,AVI,CULT,CULT
12.44,9.28,AGRI,AD,2018/2005(INI),INIT,INI,AVI,AGRI,AGRI
8.1,5.28,CULT,AD,2018/2005(INI),INIT,INI,AVI,CULT,CULT
89.77,49.52,INTA,AM,2018/2005(INI),INIT,INI,MAIN,INTA,INTA
6.12,4.53,INTA,PR,2018/2005(INI),INIT,INI,MAIN,INTA,INTA
8.52,6.75,DEVE,AD,2018/2005(INI),INIT,INI,AVI,DEVE,DEVE
4.34,2.73,JURI,AD,2018/2005(INI),INIT,INI,AVI,JURI,JURI
2.03,1.77,JURI,PA,2018/2005(INI),INIT,INI,AVI,JURI,JURI
1.4,0.96,DEVE,PA,2018/2005(INI),INIT,INI,AVI,DEVE,DEVE
13.92,7.71,JURI,AM,2018/2005(INI),INIT,INI,AVI,JURI,JURI
46.62,28.48,AGRI,AM,2018/2005(INI),INIT,INI,AVI,AGRI,AGRI
26.01,14.64,DEVE,AM,2018/2005(INI),INIT,INI,AVI,DEVE,DEVE
1.85,1.54,AGRI,PA,2018/2005(INI),INIT,INI,AVI,AGRI,AGRI
60.6,25.18,DG1-DEPOT,RR,2018/2005(INI),INIT,INI,MAIN,INTA,INTA
1.23,1.1,ECR,DV,2018/2005(INI),INIT,INI,MAIN,INTA,INTA
45.0,17.52,DG1-DEPOT,RR,2017/2259(INI),IMPL,INI,MAIN,CULT,CULT
13.75,9.75,EMPL,AD,2017/2259(INI),IMPL,INI,AVI,EMPL,EMPL
1.28,1.04,EMPL,PA,2017/2259(INI),IMPL,INI,AVI,EMPL,EMPL
15.95,13.36,CULT,PR,2017/2259(INI),IMPL,INI,MAIN,CULT,CULT
78.08,39.1,CULT,AM,2017/2259(INI),IMPL,INI,MAIN,CULT,CULT
38.67,25.38,EMPL,AM,2017/2259(INI),IMPL,INI,AVI,EMPL,EMPL
1.11,0.98,ECR,NR,2017/2259(INI),IMPL,INI,MAIN,BUDG,BUDG
12.48,6.72,ECON,PR,2017/0358(COD),LEG,COD,MAIN,ECON,ECON
83.99,37.85,ECON,AM,2017/0358(COD),LEG,COD,MAIN,ECON,ECON
16.67,5.89,JURI,PA,2017/0358(COD),LEG,COD,AVI,JURI,JURI
32.32,8.86,JURI,AD,2017/0358(COD),LEG,COD,AVI,JURI,JURI
122.76,35.32,DG1-DEPOT,RR,2017/0358(COD),LEG,COD,MAIN,ECON,ECON
139.64,60.39,ENVI,AM,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
20.72,5.69,TRAN,AM,2017/0291(COD),LEG,COD,AVI,TRAN,TRAN
17.67,10.7,TRAN,PA,2017/0291(COD),LEG,COD,AVI,TRAN,TRAN
18.11,9.89,ENVI,PR,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
36.68,12.99,ENVI,AM,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
116.54,52.42,TRAN,AM,2017/0291(COD),LEG,COD,AVI,TRAN,TRAN
34.34,21.34,ITRE,PA,2017/0291(COD),LEG,COD,AVI,ITRE,ITRE
36.36,13.81,TRAN,AD,2017/0291(COD),LEG,COD,AVI,TRAN,TRAN
60.26,26.33,ITRE,AM,2017/0291(COD),LEG,COD,AVI,ITRE,ITRE
79.99,24.5,DG1-DEPOT,RR,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
1.26,0.92,PPE,NR,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
9.09,6.13,JURI,AL,2017/0291(COD),LEG,COD,OLB,JURI,JURI
1.51,1.34,ECR,NT,2017/0291(COD),LEG,COD,MAIN,ENVI,ENVI
5.17,2.19,ECON,AM,2017/0035(COD),LEG,COD,AVI,ECON,ECON
7.44,5.21,INTA,PA,2017/0035(COD),LEG,COD,AVI,INTA,INTA
3.67,2.52,ECON,PA,2017/0035(COD),LEG,COD,AVI,ECON,ECON
13.75,6.03,AFCO,AM,2017/0035(COD),LEG,COD,AVI,AFCO,AFCO
7.76,4.53,AFCO,PA,2017/0035(COD),LEG,COD,AVI,AFCO,AFCO
