"ID","DOC_TYPE","PROC_TYPE","DOSSIER_TYPE","GROSS_SPA","NET_SPA"
1292305,"AM","DEC","CONT",10.18,4.6
1299241,"RR","DEC","CONT",19.28,8.19
1289632,"PA","DEC","ENVI",1.91,1.2
1296612,"AD","DEC","ENVI",8,3.86
1286150,"PR","DEC","CONT",15.45,10.54
1291835,"AD","DEC","EMPL",5.1,2.8
1296103,"AD","DEC","EMPL",5.25,1.75
1299230,"RR","DEC","CONT",17.22,5.94
1292304,"AM","DEC","CONT",3.63,1.69
1290174,"PA","DEC","EMPL",2.5,1.55
1291018,"AM","DEC","EMPL",8.64,3.43
1298830,"RR","DEC","CONT",18.6,7.12
1293950,"AD","DEC","TRAN",5.13,2.96
1292307,"AM","DEC","CONT",1.46,0.69
1287136,"PA","DEC","TRAN",1.46,0.87
1286154,"PR","DEC","CONT",10.84,6.63
1289113,"AM","DEC","TRAN",4.16,3.18
1286155,"PR","DEC","CONT",14.09,9.57
1299245,"RR","DEC","CONT",16.33,6.34
1292308,"AM","DEC","CONT",5.02,2.04
1298731,"RR","DEC","CONT",25.75,7.14
1293951,"AD","DEC","TRAN",5.85,3.32
1289114,"AM","DEC","TRAN",5.32,3.51
1286156,"PR","DEC","CONT",15.86,11.34
1287139,"PA","DEC","TRAN",1.45,0.96
1292309,"AM","DEC","CONT",4.09,1.94
1292311,"AM","DEC","CONT",2.79,1.2
1286157,"PR","DEC","CONT",9.13,5.49
1298833,"RR","DEC","CONT",10.38,3.73
1286158,"PR","DEC","CONT",13.11,8.31
1292344,"AM","DEC","CONT",1.11,0.42
1298780,"RR","DEC","CONT",13.97,5.34
1291834,"AD","DEC","EMPL",3.54,1.71
1296088,"AD","DEC","EMPL",3.7,1.44
1292346,"AM","DEC","CONT",3.23,1.74
1291017,"AM","DEC","EMPL",3.98,1.52
1290173,"PA","DEC","EMPL",1.99,1.1
1298972,"RR","DEC","CONT",17.46,6.99
1286159,"PR","DEC","CONT",11.1,6.29
1292303,"AM","DEC","CONT",4.72,2.47
1295100,"PR","DEC","CONT",14.28,9.23
1299238,"RR","DEC","CONT",16.77,7.02
1298746,"RR","DEC","CONT",22.04,9.48
1294966,"AD","DEC","FEMM",5.69,3.7
1288448,"PA","DEC","FEMM",1.33,0.92
1289335,"AM","DEC","FEMM",14.96,6.62
1286147,"PR","DEC","CONT",12.73,8.17
1292301,"AM","DEC","CONT",5.03,2.72
1291833,"AD","DEC","EMPL",4.1,1.8
1296077,"AD","DEC","EMPL",4.25,1.55
1299639,"RR","DEC","CONT",17,5.43
1292349,"AM","DEC","CONT",3.63,1.52
1291015,"AM","DEC","EMPL",3.76,1.62
1290172,"PA","DEC","EMPL",2.33,1.57
1298978,"RR","DEC","CONT",16.57,6.21
1286163,"PR","DEC","CONT",10.58,5.95
1286162,"PR","DEC","CONT",23.2,17.83
1298800,"RR","DEC","CONT",24.64,11.15
1291461,"AM","DEC","LIBE",5.55,2.23
1295228,"AD","DEC","LIBE",4.45,2.94
1292348,"AM","DEC","CONT",7.61,2.36
1290432,"PA","DEC","LIBE",2.11,1.64
1290414,"PA","DEC","LIBE",2.38,1.94
1299515,"RR","DEC","CONT",27.21,7.38
1291458,"AM","DEC","LIBE",4.46,2.39
1295225,"AD","DEC","LIBE",4.75,2.6
1286160,"PR","DEC","CONT",20.16,15.94
1292347,"AM","DEC","CONT",12.97,5.13
1290437,"PA","DEC","LIBE",2.45,2.04
1286176,"PR","DEC","CONT",15.71,10.99
1299015,"RR","DEC","CONT",25.64,8.44
1291463,"AM","DEC","LIBE",7.8,4.68
1294535,"AD","DEC","LIBE",5.95,3.78
1292358,"AM","DEC","CONT",6.92,2.91
1290436,"PA","DEC","LIBE",1.88,1.3
1286175,"PR","DEC","CONT",17.15,12.92
1291462,"AM","DEC","LIBE",1.96,0.91
1295231,"AD","DEC","LIBE",4.01,1.97
1292351,"AM","DEC","CONT",8.34,2.99
1298768,"RR","DEC","CONT",22.63,6.61
1290418,"PA","DEC","LIBE",1.95,1.38
