GROSS_SPA,NET_SPA,NET_SUBMITTED,REQUESTER_CODE,FDR_VERSION,DOC_DATE,PE_NO,DOC_TYPE,PROC_NAME,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
6.8,2.52,2.52,DG1-DEPOT,1,04-MAR-22,703.054,RR,2017/0113(COD),LEG,COD,MAIN,TRAN,TRAN
5.13,2.78,2.78,TRAN,1,07-JAN-22,703.054,PR,2017/0113(COD),LEG,COD,MAIN,TRAN,TRAN
8.46,5.92,5.92,TRAN,3,19-SEP-17,610.542,PA,2017/0111(COD),LEG,COD,AVI,TRAN,TRAN
19.3,11.72,11.9,ENVI,2,11-OCT-17,612.142,PR,2017/0111(COD),LEG,COD,MAIN,ENVI,ENVI
45.98,16.36,16.36,DG1-DEPOT,1,30-JAN-18,612.142,RR,2017/0111(COD),LEG,COD,MAIN,ENVI,ENVI
10.46,4.4,6.05,ENVI,1,16-NOV-17,613.505,AM,2017/0111(COD),LEG,COD,MAIN,ENVI,ENVI
70.52,35.67,35.66,ENVI,4,16-NOV-17,613.504,AM,2017/0111(COD),LEG,COD,MAIN,ENVI,ENVI
40.64,17.9,17.91,TRAN,2,25-OCT-17,612.311,AM,2017/0111(COD),LEG,COD,AVI,TRAN,TRAN
18.09,7.33,7.73,TRAN,4,19-SEP-17,610.542,AD,2017/0111(COD),LEG,COD,AVI,TRAN,TRAN
18.41,8.01,8.01,EMPL,1,08-DEC-17,613.532,AD,2017/0122(COD),LEG,COD,AHE,EMPL,EMPL
62.54,24.42,24.42,DG1-DEPOT,2,07-JUN-18,615.412,RR,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
34.04,22.42,22.43,TRAN,5,19-DEC-17,615.412,PR,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
97.46,49.12,49.12,TRAN,3,27-FEB-18,618.187,AM,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
7.6,4.69,4.69,EMPL,3,08-DEC-17,613.532,PA,2017/0122(COD),LEG,COD,AHE,EMPL,EMPL
84.62,41.37,41.17,EMPL,8,02-FEB-18,616.837,AM,2017/0122(COD),LEG,COD,AHE,EMPL,EMPL
134.71,70.39,70.71,TRAN,6,27-FEB-18,618.309,AM,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
38.38,10.74,10.74,TRAN,7,19-DEC-18,632.724,DT,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
38.84,10.88,10.87,TRAN,1,08-JAN-19,632.804,DT,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
36.35,9.87,9.87,TRAN,1,08-JAN-19,632.803,DT,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
38.33,10.54,10.54,TRAN,1,08-JAN-19,632.805,DT,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
38.99,11.29,11.29,TRAN,1,08-JAN-19,632.802,DT,2017/0122(COD),LEG,COD,MHE,TRAN,TRAN
8.89,3.0,3.0,DG1-DEPOT,2,10-JUN-20,650.439,RR,2017/0122(COD),LEG,COD,MAIN,TRAN,TRAN
15.15,8.29,8.29,TRAN,2,13-MAY-20,652.268,AM,2017/0122(COD),LEG,COD,MAIN,TRAN,TRAN
7.4,5.01,5.25,TRAN,1,17-APR-20,650.439,PR,2017/0122(COD),LEG,COD,MAIN,TRAN,TRAN
2.45,1.77,1.88,JURI,7,31-AUG-17,609.568,NP,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
80.28,29.26,29.26,DG1-DEPOT,2,08-JUN-18,615.504,RR,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
26.18,11.56,11.56,EMPL,4,14-DEC-17,615.267,AD,2017/0121(COD),LEG,COD,AHE,EMPL,EMPL
12.48,7.67,7.67,EMPL,2,14-DEC-17,615.267,PA,2017/0121(COD),LEG,COD,AHE,EMPL,EMPL
82.92,46.48,46.47,EMPL,8,05-FEB-18,616.903,AM,2017/0121(COD),LEG,COD,AHE,EMPL,EMPL
80.24,35.99,35.98,EMPL,6,05-FEB-18,616.838,AM,2017/0121(COD),LEG,COD,AHE,EMPL,EMPL
128.93,61.79,60.04,TRAN,5,23-FEB-18,618.064,AM,2017/0121(COD),LEG,COD,MHE,TRAN,TRAN
