GROSS_SPA,NET_SPA,DOC_TYPE,PROC_NATURE,PROC_TYPE,ROLE,DOSSIER_TYPE,COMMITTEE_1
0.73,0.31,AM,LEG,COD,MAIN,INTA,INTA
6.78,2.61,RR,LEG,COD,MAIN,INTA,INTA
60.82,21.21,RR,RULE,REG,MAIN,AFCO,AFCO
58.49,32.2,PR,RULE,REG,MAIN,AFCO,AFCO
98.76,44.44,AM,RULE,REG,MAIN,AFCO,AFCO
1.84,0.8,AM,MOFU,BUD,MAIN,BUDG,BUDG
19.5,8.47,RR,MOFU,BUD,MAIN,BUDG,BUDG
6.47,4.28,AL,MOFU,BUD,AVI,EMPL,EMPL
12.09,6.66,PR,MOFU,BUD,MAIN,BUDG,BUDG
5.39,3.43,AL,MOFU,BUD,AVI,EMPL,EMPL
4.28,1.51,AM,MOFU,BUD,MAIN,BUDG,BUDG
18.77,8.3,RR,MOFU,BUD,MAIN,BUDG,BUDG
12.23,6.42,PR,MOFU,BUD,MAIN,BUDG,BUDG
1.31,0.47,AM,MOFU,BUD,MAIN,BUDG,BUDG
9.63,4.72,RR,MOFU,BUD,MAIN,BUDG,BUDG
8.86,2.69,PR,MOFU,BUD,MAIN,BUDG,BUDG
5.06,2.5,RR,RULE,REG,MAIN,AFCO,AFCO
4.68,2.07,AM,RULE,REG,MAIN,AFCO,AFCO
3.94,2.37,PR,RULE,REG,MAIN,AFCO,AFCO
144.34,65.03,AM,RCST,COD,MAIN,ITRE,ITRE
141.03,65.68,AM,RCST,COD,MAIN,ITRE,ITRE
4.65,4.51,AL,RCST,COD,AVI,AGRI,AGRI
2.92,1.75,CM,RCST,COD,OAR,JURI,JURI
71.3,37.29,PR,RCST,COD,MAIN,ITRE,ITRE
198.53,85.42,RR,RCST,COD,MAIN,ITRE,ITRE
4.23,1.42,AL,RCST,COD,OAR,JURI,JURI
238.66,149.59,PF,RCST,COD,MAIN,ITRE,ITRE
9.41,5.05,AM,INIT,INI,AVI,LIBE,LIBE
1.54,1.22,PA,INIT,INI,AVI,LIBE,LIBE
8.42,6.94,PR,INIT,INI,MAIN,IMCO,IMCO
43.18,23.64,AM,INIT,INI,MAIN,IMCO,IMCO
5.89,4.68,AD,INIT,INI,AVI,LIBE,LIBE
26.62,15.5,RR,INIT,INI,MAIN,IMCO,IMCO
27.07,19.28,RR,OUTDEC,INI,MAIN,AFET,AFET
101.57,53.98,AM,OUTDEC,INI,MAIN,AFET,AFET
74.93,44.23,AM,INIT,INI,MAIN,INTA,INTA
38.65,21.55,AM,INIT,INI,AVI,AGRI,AGRI
1.59,1.31,PA,INIT,INI,AVI,AGRI,AGRI
11.99,8.77,AD,INIT,INI,AVI,AGRI,AGRI
3.92,1.9,PR,LEG,CNS,MAIN,ECON,ECON
4.29,1.15,RR,LEG,CNS,MAIN,ECON,ECON
73.3,27.59,AM,LEG,CNS,MAIN,ECON,ECON
14.96,6.09,PR,LEG,CNS,MAIN,ECON,ECON
37.63,12.34,RR,LEG,CNS,MAIN,ECON,ECON
3.03,1.33,PR,APPE,NLE,MAIN,INTA,INTA
0.83,0.37,AL,APPE,NLE,AVI,AGRI,AGRI
16.67,11.22,RE,RESC,RSP,MAIN,ENVI,ENVI
15.69,10.52,RE,RESC,RSP,MAIN,ENVI,ENVI
8.15,4.61,PR,LEG,COD,MAIN,ITRE,ITRE
34.25,21.7,RR,LEG,COD,MAIN,ITRE,ITRE
27.74,15.39,PF,LEG,COD,MAIN,ITRE,ITRE
23.47,13.9,AM,LEG,COD,MAIN,ITRE,ITRE
28.6,9.53,RR,LEG,COD,MAIN,PECH,PECH
6.49,3.56,PR,LEG,COD,MAIN,PECH,PECH
27.54,10.4,AM,LEG,COD,MAIN,PECH,PECH
13.86,5.93,AM,BUD,BUD,MAIN,BUDG,BUDG
7.51,5.89,PR,BUD,BUD,MAIN,BUDG,BUDG
8.74,5.17,RR,BUD,BUD,MAIN,BUDG,BUDG
14.98,7.94,AM,MR,NLE,AVI,DEVE,DEVE
1.58,1.33,PA,MR,NLE,AVI,DEVE,DEVE
1.25,0.73,NT,MR,NLE,MAIN,PECH,PECH
7.74,6.13,AD,MR,NLE,AVI,DEVE,DEVE
6.24,5.63,PR,MR,NLE,MAIN,PECH,PECH
16.6,9.83,AM,MR,NLE,MAIN,PECH,PECH
2.92,2.48,AL,MR,NLE,AVI,INTA,INTA
24.98,11.99,RR,MR,NLE,MAIN,PECH,PECH
72.56,37.92,AM,INIT,INI,MHE,DEVE,DEVE
9.3,8.02,AD,INIT,INI,AVI,AFET,AFET
19.86,12.99,AM,INIT,INI,AHE,BUDG,BUDG
2.24,2.06,PA,INIT,INI,AHE,BUDG,BUDG
9.28,7.24,AD,INIT,INI,AHE,BUDG,BUDG
18.98,10.43,AM,INIT,INI,AVI,AFET,AFET
9.38,8.13,PR,INIT,INI,MHE,DEVE,DEVE
1.98,1.74,PA,INIT,INI,AVI,AFET,AFET
49.43,28.69,RR,INIT,INI,MHE,DEVE,DEVE
1.55,1.38,PA,INIT,INI,AVI,BUDG,BUDG
16.56,13.53,AD,INIT,INI,AVI,EMPL,EMPL
60.0,29.58,RR,INIT,INI,MHE,ITRE,CJ23
